Sr.No.,Accord Code,Company Name,RPTS_Year End,RPTS_Sales,RPTS_Rent Income,RPTS_Dividend Income,RPTS_Interest Income,RPTS_Forex Gain,RPTS_Discount Income,RPTS_Commission Income,RPTS_Claims Received,RPTS_Other Income,RPTS_Purchases,RPTS_Interest Expenses,RPTS_Director Remuneration,RPTS_Rent Expense,RPTS_Expenses,RPTS_Dividend Expense,RPTS_Discount Expense,RPTS_Commission Expense,RPTS_Claims Paid,RPTS_Expenses Recovered,RPTS_Profit on Sale of Assets,RPTS_Profit on Sale of Investments,RPTS_Provision Written Back,RPTS_Reimbursement Income,RPTS_Sale of Assets,RPTS_Sale of Investments,RPTS_Other Non Operating income,RPTS_Diminution on Investments,RPTS_Donations,RPTS_Forex Loss,RPTS_Loss on Sale of Assets,RPTS_Loss on Sale of Investments,RPTS_Provision for Doubtful Debts & Advances,RPTS_Purchase of Assets,RPTS_Purchase of Investments,RPTS_Provision Write offs,RPTS_Reimbursement Expense,RPTS_Other Non Operating Expenses
7510,236771,Craft Corner Paper Mills Ltd.,202203,0.54,,,,,,,,,,0.56,0.55,,0.13,,,,,,,,,,,,,,,,,,,,,,,
7511,215216,Craftsman Automation Ltd.,202403,77.47,,,,,,,,0.06,5.59,,17.14,,,,,,,,,,,,,,,,,,,,,,,,,
7512,215216,Craftsman Automation Ltd.,202303,54.91,,,,,,,,0.02,2.45,,20.57,,0.06,,,,,,,,,,,,,,,,,,,,,,,
7513,215216,Craftsman Automation Ltd.,202203,39.23,,,,,,,,0.19,2.93,,14.05,,0.03,,,,,,,,,,,,,,,,,,,,,,,
7514,273258,Crane Infrastructure Ltd.,202403,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7515,273258,Crane Infrastructure Ltd.,202303,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7516,273258,Crane Infrastructure Ltd.,202203,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7517,239433,Crane Process Flow Technologies (India) Ltd.,202403,37.77,,,,,,,,,1.68,,2.86,,0.81,,,,,,,,,,,,,,,,,,,,,,,
7518,239433,Crane Process Flow Technologies (India) Ltd.,202303,38.48,,,,,,,,,2.15,,1.77,,5.30,,,,,,,,,,,,,,,,,,,,,,,
7519,239433,Crane Process Flow Technologies (India) Ltd.,202203,74.41,,,,,,,,13.87,13.98,,1.94,,6.61,,,,,,,,,,,,,,,,,,,,,,,
7520,112093,Cranes Software International Ltd.,202403,,,,,,,,,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,
7521,112093,Cranes Software International Ltd.,202303,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,
7522,112093,Cranes Software International Ltd.,202203,,,,,,,,,,,,0.10,,,,,,,,,,,,,,,,,,,,,,,,,
7523,122001,Cranex Ltd.,202403,2.33,,,,,,,,,,,0.37,,0.01,,,,,,,,,,,,,,,,,,,,,,,
7524,122001,Cranex Ltd.,202303,4.63,,,,,,,,,,,0.38,,0.01,,,,,,,,,,,,,,,,,,,,,,,
7525,122001,Cranex Ltd.,202203,,,,,,,,,,,,0.34,,0.00,,,,,,,,,,,,,,,,,,,,,,,
7526,290941,Craphts Consultants (India) Pvt Ltd.,202303,,,,,,,,,,,,0.13,,0.45,,,,,,,,,,,,,,,,,,,,,,,
7527,290941,Craphts Consultants (India) Pvt Ltd.,202203,,,,,,,,,,,,0.17,,0.46,,,,,,,,,,,,,,,,,,,,,,,
7528,109472,Cravatex Ltd.,202403,0.96,,2.31,,,,,,,,,0.99,,0.42,,,,,,,,,,,,,,,,,,,,,,,
7529,109472,Cravatex Ltd.,202303,0.53,,4.80,,,,,,0.19,,,1.22,,0.16,,,,,,,,,,,,,,,,,,,,,,,
7530,109472,Cravatex Ltd.,202203,0.87,,4.60,,,,,,0.41,,,1.02,,0.04,,,,,,,,,,,,,,,,,,,,,,,
7531,210046,Crayons Advertising Ltd.,202403,12.93,,,0.94,,,,,,,,2.41,,4.87,,,,,,,,,,,,,,,,,,,,,,,
7532,210046,Crayons Advertising Ltd.,202303,0.04,,,1.22,,,,,0.03,,,0.88,,19.64,,,,,,,,,,,,,,,,,,,,,,,
7533,210046,Crayons Advertising Ltd.,202203,0.07,,,0.37,,,,,,,0.00,0.63,,26.13,,,,,,,,,,,,,,,,,,,,,,,
7534,275163,Cream Packs Pvt Ltd,202303,19.37,,,,,,,,1.62,12.31,,0.77,,3.39,,,,,,,,,,,,,,,,,,,,,,,
7535,275163,Cream Packs Pvt Ltd,202203,7.54,,,,,,,,,20.61,,0.92,,0.94,,,,,,,,,,,,,,,,,,,,,,,
7536,218521,Creamline Dairy Products Ltd.,202403,1.09,,,,,,,,,146.61,5.57,0.15,,9.65,,,,,,,,,,,,,,,,,,,,,,,
7537,218521,Creamline Dairy Products Ltd.,202303,1.83,,,,,,,,,129.73,2.67,6.85,,1.97,,,,,,,,,,,,,,,,,,,,,,,
7538,218521,Creamline Dairy Products Ltd.,202203,1.62,,,0.06,,,,,,136.77,0.01,3.51,,0.82,7.99,,,,,,,,,,,,,,,,,,,,,,
7539,220240,Creamy Foods Ltd.,202203,71.48,,,,,,,,0.03,23.07,,4.80,,0.98,,,,,,,,,,,,,,,,,,,,,,,
7540,312300,Createroi Financial Consultancy Ltd.,202403,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,
7541,306343,CreatFX Pvt Ltd.,202203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7542,243574,Creative Castings Ltd.,202403,,,,,,,,,,,,1.02,,3.88,,,,,,,,,,,,,,,,,,,,,,,
7543,243574,Creative Castings Ltd.,202303,0.20,,,,,,,,,0.03,,0.56,,2.78,,,,,,,,,,,,,,,,,,,,,,,
7544,243574,Creative Castings Ltd.,202203,,,,,,,,,,,,0.53,,2.46,,,,,,,,,,,,,,,,,,,,,,,
7545,132392,Creative Eye Ltd.,202403,,,,,,,,,,,,1.08,,,,,,,,,,,,,,,,,,,,,,,,,
7546,132392,Creative Eye Ltd.,202303,,,,,,,,,,,,1.06,,,,,,,,,,,,,,,,,,,,,,,,,
7547,132392,Creative Eye Ltd.,202203,,,,,,,,,,,,1.06,,,,,,,,,,,,,,,,,,,,,,,,,
7548,248922,Creative Forge Pvt Ltd.,202403,,,,,,,,,,,0.44,1.49,,,,,,,,,,,,,,,,,,,,,,,,,
7549,248922,Creative Forge Pvt Ltd.,202303,,,,,,,,,,,0.41,0.93,,,,,,,,,,,,,,,,,,,,,,,,,
7550,248922,Creative Forge Pvt Ltd.,202203,,,,,,,,,,,0.34,0.48,,0.30,,,,,,,,,,,,,,,,,,,,,,,
7551,210047,Creative Garments Pvt Ltd.,202303,50.94,,,,,,,,,16.28,,,,,,,,,,,,,,,,,,,,,,,,,,,
7552,210047,Creative Garments Pvt Ltd.,202203,2.99,,,,,,,,,20.47,,,,,,,,,,,,,,,,,,,,,,,,,,,
7553,312583,Creative Graphics Solutions India Ltd.,202403,3.12,,,,,,,,,1.24,,1.68,,0.96,,,,,,,,,,,,,,,,,,,,,,,
7554,312583,Creative Graphics Solutions India Ltd.,202303,4.18,,,0.03,,,,,,,,1.60,,0.96,,,,,,,,,,,,,,,,,,,,,,,
7555,212876,Creative Homes Pvt Ltd.,202203,,,,,,,,,,,,0.10,,,,,,,,,,,,,,,,,,,,,,,,,
7556,228941,Creative International Pvt Ltd.,202403,,,,,,,,,,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,
7557,228941,Creative International Pvt Ltd.,202303,,,,,,,,,,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,
7558,228941,Creative International Pvt Ltd.,202203,,,,,,,,,,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,
7559,285246,Creative Newtech Ltd.,202403,13.04,,,,,,,,,39.19,0.03,2.68,,,,,,,,,,,,,,,,,,,,,,,,,
7560,285246,Creative Newtech Ltd.,202303,2.29,,,,,,,,,18.17,0.49,1.94,,0.16,,,,,,,,,,,,,,,,,,,,,,,
7561,285246,Creative Newtech Ltd.,202203,3.03,,,,,,,,,45.84,,2.41,,0.14,,,,,,,,,,,,,,,,,,,,,,,
7562,281965,Creative Polypack Ltd.,202303,6.20,,,,,,,,0.10,6.69,8.61,,,32.01,,,,,,,,,,,,,,,,,,,,,,,
7563,281965,Creative Polypack Ltd.,202203,12.82,,,,,,,,0.24,3.93,,,,14.65,,,,,,,,,,,,,,,,,,,,,,,
7564,236774,Creative Propack Ltd.,202403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7565,231049,Creativeland Asia Pvt Ltd.,202303,9.98,,,,,,,,,,4.99,2.37,,,,,,,,,,,,,,,,,,,,,,,,,
7566,231049,Creativeland Asia Pvt Ltd.,202203,10.75,,,,,,,,,0.34,,2.79,,,,,,,,,,,,,,,,,,,,,,,,,
7567,316398,Creativity At Best Technologies Ltd.,202403,,,,,,,,,,2.12,,0.96,,0.13,,,,,,,,,,,,,,,,,,,,,,,
7568,316398,Creativity At Best Technologies Ltd.,202303,,,,,,,,,,,,0.60,,,,,,,,,,,,,,,,,,,,,,,,,
7569,316398,Creativity At Best Technologies Ltd.,202203,,,,,,,,,,,,1.20,,,,,,,,,,,,,,,,,,,,,,,,,
7570,244847,Credent Global Finance Ltd.,202403,,,,1.25,,,,,0.12,,,0.11,,0.12,,,,,,,,,,,,,,,,,,,,,,,
7571,244847,Credent Global Finance Ltd.,202303,,,,0.15,,,,,0.01,,0.02,0.33,,,,,,,,,,,,,,,,,,,,,,,,,
7572,244847,Credent Global Finance Ltd.,202203,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,
7573,215220,Credila Financial Services Ltd.,202403,,,,6.95,,,,,41.97,,166.88,26.65,,55.14,,,,,,,,,,,,,,,,,,,,,,,
7574,215220,Credila Financial Services Ltd.,202303,3.90,,,0.30,,,,,,,,6.41,,34.11,,,,,,,,,,,,,,,,,,,,,,,
7575,215220,Credila Financial Services Ltd.,202203,,,,0.03,,,,,2.13,,,0.85,,20.58,,,,,,,,,,,,,,,,,,,,,,,
7576,221716,Credit Agricole Corporate & Investment Bank,202303,,,,,,,,,0.05,,,,,11.52,,,,,,,,,,,,,,,,,,,,,,,
7577,221716,Credit Agricole Corporate & Investment Bank,202203,,,,,,,,,1.10,,0.03,,,10.26,,,,,,,,,,,,,,,,,,,,,,,
7578,238285,Credit Suisse AG,202303,19.85,,,,,,,,10.37,,97.08,,,8.43,,,,,,,,,,,,,,,,,,,,,,,
7579,238285,Credit Suisse AG,202203,19.62,,,38.73,,,,,21.27,,,,,5.35,,,,,,,,,,,,,,,,,,,,,,,
7580,254420,Credit Suisse Securities (India) Pvt Ltd.,202203,87.31,,,20.83,,,,,39.48,,,23.71,,60.84,,,,,,,,,,,,,,,,,,,,,,,
7581,221842,CreditAccess Grameen Ltd.,202403,,,,,,,,,16.34,,,16.66,,12.17,,,,,,,,,,,,,,,,,,,,,,,
7582,221842,CreditAccess Grameen Ltd.,202303,,,,,,,,,0.01,,,12.92,,11.54,,,,,,,,,,,,,,,,,,,,,,,
7583,221842,CreditAccess Grameen Ltd.,202203,,,,3.61,,,,,0.01,,,7.60,,4.31,,,,,,,,,,,,,,,,,,,,,,,
7584,221669,Credo Brands Marketing Ltd.,202403,,,,,,,,,,,,5.89,,0.44,,,,,,,,,,,,,,,,,,,,,,,
7585,221669,Credo Brands Marketing Ltd.,202303,,,,,,,,,,,,5.53,,,,,,,,,,,,,,,,,,,,,,,,,
7586,221669,Credo Brands Marketing Ltd.,202203,,,,,,,,,,,,5.03,,,,,,,,,,,,,,,,,,,,,,,,,
7587,212879,Cremica Agro Foods Ltd.,202203,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,
7588,287650,Cremica Food Industries Ltd.,202403,2.58,,,,,,,,0.00,20.34,,3.75,,,,,,,,,,,,,,,,,,,,,,,,,
